no_of_spikes,pearson_ADM_PEDM,pearson_ADM_FEDM,pearson_PEDM_FEDM,spearman_ADM_PEDM,spearman_ADM_FEDM,spearman_PEDM_FEDM,method
20,0.8472713876,0.7631173479,0.8990727486,0.7351758414,0.7415331388,0.9517319048,centroid-based
20,0.7923062049,0.784333178,0.9795244844,0.7638656299,0.7693158773,0.991742234,centroid-based
20,0.7895753821,0.7868309706,0.9774205055,0.7750814138,0.7751160446,0.9924613128,centroid-based
20,0.7971179964,0.7760780083,0.9713708004,0.7816266724,0.7730911692,0.9894735978,centroid-based
20,0.8540548508,0.7639112595,0.9036765154,0.7432204567,0.7362935049,0.9583783968,centroid-based
20,0.7846263743,0.7697729069,0.9675626236,0.7609708717,0.7562120224,0.9885439665,centroid-based
20,0.7776808817,0.7712468156,0.9860898392,0.7529966385,0.7547218036,0.9931408518,centroid-based
20,0.8006359622,0.786382434,0.9696984694,0.7877043239,0.7885302176,0.9908659419,centroid-based
20,0.7996856345,0.7929206755,0.9814093659,0.7797269581,0.7900125481,0.9916131154,centroid-based
20,0.7859236819,0.7750906287,0.9612990334,0.7588614835,0.7610669667,0.9875669372,centroid-based
20,0.7846359019,0.7691988116,0.978181873,0.7662259843,0.7595398229,0.991652616,centroid-based
20,0.7951052114,0.7849840928,0.9768179455,0.7766765631,0.7764559563,0.9910177583,centroid-based
20,0.7756409285,0.7706962954,0.9769578253,0.7551716746,0.7507798851,0.9912512243,centroid-based
20,0.8003292108,0.786300818,0.9694921971,0.7801342541,0.7773392728,0.9886171006,centroid-based
20,0.7945035809,0.7892487502,0.9897255592,0.7774236963,0.7807626334,0.9953164544,centroid-based
22,0.7817474847,0.763846314,0.9534362447,0.7664688914,0.740167294,0.9786283033,centroid-based
22,0.803826833,0.7923536783,0.9848151545,0.7890216408,0.7889036999,0.9926743717,centroid-based
22,0.78290608,0.7722714253,0.985555513,0.7627932252,0.7570712527,0.9924411907,centroid-based
22,0.7835808699,0.7352901579,0.967105535,0.7491478229,0.6888116347,0.9740866843,centroid-based
22,0.8199466918,0.7735624135,0.9701896084,0.7712938429,0.7522762137,0.9875134292,centroid-based
22,0.8799084036,0.7927307452,0.9086912756,0.7946017153,0.7877383847,0.952423511,centroid-based
22,0.8021633221,0.7993861953,0.9791381216,0.7987225003,0.7988109361,0.9917344927,centroid-based
22,0.797173767,0.7838306153,0.9772096921,0.7811372293,0.7715799928,0.9882186875,centroid-based
22,0.8034995259,0.7845902617,0.9712287732,0.786808104,0.7688377575,0.9872007649,centroid-based
22,0.8734452175,0.7887609206,0.8986526729,0.7912502243,0.7756354989,0.9445634887,centroid-based
22,0.7800593837,0.7861060938,0.9754089354,0.7725329349,0.771717087,0.9904609986,centroid-based
22,0.8700793078,0.785540319,0.8948226893,0.7862529197,0.7775641477,0.9344879382,centroid-based
22,0.8697677764,0.7831259148,0.899594288,0.7871140755,0.7698465069,0.933676042,centroid-based
22,0.7997490753,0.7839993628,0.9644594424,0.7782234347,0.7788972235,0.9900555527,centroid-based
22,0.7833808931,0.7682320276,0.9730800798,0.7553466404,0.7488985606,0.989668286,centroid-based
24,0.7968337959,0.7875846341,0.9778725215,0.7815444173,0.7770468307,0.9915659178,centroid-based
24,0.8042516385,0.7969851592,0.974796334,0.7980093506,0.7902740951,0.9858765178,centroid-based
24,0.8629261994,0.7754350668,0.9077111227,0.7764464673,0.7560481155,0.9508718546,centroid-based
24,0.7879004965,0.767302022,0.9756092417,0.7586301212,0.7421029058,0.988551371,centroid-based
