no_of_spikes,correlation_values,correlation_entities
2,0.52,pearson_ADM_PEDM
4,0.7,pearson_ADM_PEDM
6,0.67,pearson_ADM_PEDM
8,0.61,pearson_ADM_PEDM
10,0.7,pearson_ADM_PEDM
12,0.66,pearson_ADM_PEDM
14,0.75,pearson_ADM_PEDM
16,0.78,pearson_ADM_PEDM
18,0.74,pearson_ADM_PEDM
20,0.75,pearson_ADM_PEDM
22,0.76,pearson_ADM_PEDM
24,0.78,pearson_ADM_PEDM
26,0.78,pearson_ADM_PEDM
28,0.8,pearson_ADM_PEDM
30,0.79,pearson_ADM_PEDM
32,0.77,pearson_ADM_PEDM
34,0.79,pearson_ADM_PEDM
36,0.78,pearson_ADM_PEDM
38,0.79,pearson_ADM_PEDM
40,0.78,pearson_ADM_PEDM
42,0.8,pearson_ADM_PEDM
44,0.78,pearson_ADM_PEDM
46,0.79,pearson_ADM_PEDM
48,0.78,pearson_ADM_PEDM
50,0.75,pearson_ADM_PEDM
52,0.76,pearson_ADM_PEDM
54,0.75,pearson_ADM_PEDM
56,0.78,pearson_ADM_PEDM
58,0.8,pearson_ADM_PEDM
60,0.78,pearson_ADM_PEDM
2,0.54,pearson_ADM_FEDM
4,0.72,pearson_ADM_FEDM
6,0.69,pearson_ADM_FEDM
8,0.62,pearson_ADM_FEDM
10,0.71,pearson_ADM_FEDM
12,0.68,pearson_ADM_FEDM
14,0.76,pearson_ADM_FEDM
16,0.79,pearson_ADM_FEDM
18,0.75,pearson_ADM_FEDM
20,0.77,pearson_ADM_FEDM
22,0.77,pearson_ADM_FEDM
24,0.79,pearson_ADM_FEDM
26,0.79,pearson_ADM_FEDM
28,0.8,pearson_ADM_FEDM
30,0.8,pearson_ADM_FEDM
32,0.78,pearson_ADM_FEDM
34,0.8,pearson_ADM_FEDM
36,0.79,pearson_ADM_FEDM
38,0.8,pearson_ADM_FEDM
40,0.79,pearson_ADM_FEDM
42,0.82,pearson_ADM_FEDM
44,0.79,pearson_ADM_FEDM
46,0.8,pearson_ADM_FEDM
48,0.8,pearson_ADM_FEDM
50,0.76,pearson_ADM_FEDM
52,0.78,pearson_ADM_FEDM
54,0.77,pearson_ADM_FEDM
56,0.79,pearson_ADM_FEDM
58,0.82,pearson_ADM_FEDM
60,0.8,pearson_ADM_FEDM
2,0.95,pearson_PEDM_FEDM
4,0.97,pearson_PEDM_FEDM
6,0.95,pearson_PEDM_FEDM
8,0.97,pearson_PEDM_FEDM
10,0.97,pearson_PEDM_FEDM
12,0.97,pearson_PEDM_FEDM
14,0.97,pearson_PEDM_FEDM
16,0.97,pearson_PEDM_FEDM
18,0.97,pearson_PEDM_FEDM
20,0.97,pearson_PEDM_FEDM
22,0.97,pearson_PEDM_FEDM
24,0.98,pearson_PEDM_FEDM
26,0.98,pearson_PEDM_FEDM
28,0.98,pearson_PEDM_FEDM
30,0.98,pearson_PEDM_FEDM
32,0.98,pearson_PEDM_FEDM
34,0.98,pearson_PEDM_FEDM
36,0.98,pearson_PEDM_FEDM
38,0.97,pearson_PEDM_FEDM
40,0.97,pearson_PEDM_FEDM
42,0.98,pearson_PEDM_FEDM
44,0.97,pearson_PEDM_FEDM
46,0.98,pearson_PEDM_FEDM
48,0.97,pearson_PEDM_FEDM
50,0.97,pearson_PEDM_FEDM
52,0.98,pearson_PEDM_FEDM
54,0.98,pearson_PEDM_FEDM
56,0.97,pearson_PEDM_FEDM
58,0.98,pearson_PEDM_FEDM
60,0.98,pearson_PEDM_FEDM
2,0.5,spearman_ADM_PEDM
4,0.66,spearman_ADM_PEDM
6,0.64,spearman_ADM_PEDM
8,0.61,spearman_ADM_PEDM
10,0.69,spearman_ADM_PEDM
12,0.64,spearman_ADM_PEDM
14,0.72,spearman_ADM_PEDM
16,0.75,spearman_ADM_PEDM
18,0.72,spearman_ADM_PEDM
20,0.74,spearman_ADM_PEDM
22,0.74,spearman_ADM_PEDM
24,0.76,spearman_ADM_PEDM
26,0.76,spearman_ADM_PEDM
28,0.77,spearman_ADM_PEDM
30,0.78,spearman_ADM_PEDM
32,0.75,spearman_ADM_PEDM
34,0.77,spearman_ADM_PEDM
36,0.75,spearman_ADM_PEDM
38,0.77,spearman_ADM_PEDM
40,0.77,spearman_ADM_PEDM
42,0.78,spearman_ADM_PEDM
44,0.75,spearman_ADM_PEDM
46,0.77,spearman_ADM_PEDM
48,0.76,spearman_ADM_PEDM
50,0.73,spearman_ADM_PEDM
52,0.75,spearman_ADM_PEDM
54,0.74,spearman_ADM_PEDM
56,0.76,spearman_ADM_PEDM
58,0.79,spearman_ADM_PEDM
60,0.76,spearman_ADM_PEDM
2,0.51,spearman_ADM_FEDM
4,0.67,spearman_ADM_FEDM
6,0.65,spearman_ADM_FEDM
8,0.62,spearman_ADM_FEDM
10,0.7,spearman_ADM_FEDM
12,0.66,spearman_ADM_FEDM
14,0.74,spearman_ADM_FEDM
16,0.76,spearman_ADM_FEDM
18,0.73,spearman_ADM_FEDM
20,0.75,spearman_ADM_FEDM
22,0.76,spearman_ADM_FEDM
24,0.77,spearman_ADM_FEDM
26,0.77,spearman_ADM_FEDM
28,0.78,spearman_ADM_FEDM
30,0.79,spearman_ADM_FEDM
32,0.77,spearman_ADM_FEDM
34,0.79,spearman_ADM_FEDM
36,0.77,spearman_ADM_FEDM
38,0.79,spearman_ADM_FEDM
40,0.78,spearman_ADM_FEDM
42,0.79,spearman_ADM_FEDM
44,0.77,spearman_ADM_FEDM
46,0.78,spearman_ADM_FEDM
48,0.78,spearman_ADM_FEDM
50,0.75,spearman_ADM_FEDM
52,0.77,spearman_ADM_FEDM
54,0.76,spearman_ADM_FEDM
56,0.77,spearman_ADM_FEDM
58,0.8,spearman_ADM_FEDM
60,0.77,spearman_ADM_FEDM
2,0.94,spearman_PEDM_FEDM
4,0.96,spearman_PEDM_FEDM
6,0.95,spearman_PEDM_FEDM
8,0.97,spearman_PEDM_FEDM
10,0.97,spearman_PEDM_FEDM
12,0.97,spearman_PEDM_FEDM
14,0.97,spearman_PEDM_FEDM
16,0.97,spearman_PEDM_FEDM
18,0.98,spearman_PEDM_FEDM
20,0.98,spearman_PEDM_FEDM
22,0.98,spearman_PEDM_FEDM
24,0.98,spearman_PEDM_FEDM
26,0.98,spearman_PEDM_FEDM
28,0.98,spearman_PEDM_FEDM
30,0.98,spearman_PEDM_FEDM
32,0.98,spearman_PEDM_FEDM
34,0.98,spearman_PEDM_FEDM
36,0.98,spearman_PEDM_FEDM
38,0.98,spearman_PEDM_FEDM
40,0.98,spearman_PEDM_FEDM
42,0.98,spearman_PEDM_FEDM
44,0.98,spearman_PEDM_FEDM
46,0.98,spearman_PEDM_FEDM
48,0.98,spearman_PEDM_FEDM
50,0.98,spearman_PEDM_FEDM
52,0.98,spearman_PEDM_FEDM
54,0.98,spearman_PEDM_FEDM
56,0.98,spearman_PEDM_FEDM
58,0.98,spearman_PEDM_FEDM
60,0.98,spearman_PEDM_FEDM
