no_of_spikes,pearson_ADM_PEDM,pearson_ADM_FEDM,pearson_PEDM_FEDM,spearman_ADM_PEDM,spearman_ADM_FEDM,spearman_PEDM_FEDM,method
20,0.7144010276,0.7289782426,0.9721333952,0.6908349657,0.7080227975,0.9697355266,centroid-based
20,0.7282835183,0.7420954018,0.9645410349,0.7017964809,0.7164220909,0.9721666646,centroid-based
20,0.7324077863,0.7493230375,0.9708154874,0.7099412522,0.7225445995,0.9711233883,centroid-based
20,0.7232699967,0.7424328155,0.9699248224,0.6932797702,0.713428514,0.9730916586,centroid-based
20,0.7212446828,0.7399387099,0.9684660307,0.6939790886,0.7108254051,0.9727290604,centroid-based
20,0.7299402389,0.7502164581,0.9646303773,0.6998726718,0.7168626398,0.9679969879,centroid-based
20,0.7235192335,0.739411817,0.9728673203,0.7014453006,0.7170361602,0.9754967274,centroid-based
20,0.7224951304,0.7379835762,0.9692166408,0.6993011568,0.7156502106,0.9663012065,centroid-based
20,0.7179510829,0.7375358815,0.9642963287,0.6785570559,0.7014492311,0.9672131939,centroid-based
20,0.731757623,0.7497860197,0.9698492732,0.7018227021,0.7189231278,0.9705028813,centroid-based
20,0.7250854661,0.743012684,0.9745451032,0.7035742782,0.7234068188,0.9686503429,centroid-based
20,0.7254997989,0.7444086433,0.9648054018,0.694781087,0.7144110025,0.9671319722,centroid-based
20,0.7247052051,0.7481861386,0.9673126936,0.694583618,0.7158861338,0.9782463232,centroid-based
20,0.7415999175,0.7548998669,0.9706407543,0.7184572738,0.7294131901,0.9670497148,centroid-based
20,0.7292004645,0.7450265731,0.9723842379,0.6959204569,0.713560112,0.9710020809,centroid-based
22,0.7242476577,0.7439039438,0.9776451896,0.6957135724,0.7178827418,0.9775577423,centroid-based
22,0.7267273577,0.7463769191,0.9711873861,0.6946490001,0.7162158391,0.9753771279,centroid-based
22,0.7388956277,0.7591141009,0.9718284551,0.7104233384,0.7317189572,0.9768779792,centroid-based
22,0.7277551756,0.7460045525,0.9580556261,0.7046528522,0.7200496512,0.9742273373,centroid-based
22,0.7308438089,0.7493830672,0.9667624012,0.702828663,0.7242536632,0.9696584014,centroid-based
22,0.7208720349,0.7366033242,0.9686693984,0.6962586742,0.7086982502,0.9666021294,centroid-based
22,0.7267091263,0.747351455,0.966221197,0.6935155879,0.7176883578,0.9719168775,centroid-based
22,0.734304385,0.7514200609,0.969394491,0.7091826531,0.7272978741,0.9724215929,centroid-based
22,0.7274549851,0.7463200435,0.9585439073,0.7017112397,0.7203309515,0.9794468499,centroid-based
22,0.7263920465,0.7452577143,0.9711431522,0.6898997305,0.7139410718,0.9713677158,centroid-based
22,0.7196655268,0.7395452646,0.9633965473,0.697699997,0.7176361984,0.9748204251,centroid-based
22,0.7447066106,0.7619157659,0.9722174288,0.7128003559,0.7342151548,0.9693746993,centroid-based
22,0.7339180797,0.7522347219,0.9676495943,0.7067747454,0.7239627477,0.9711880241,centroid-based
22,0.7351512494,0.7564995272,0.9635886659,0.7062045049,0.7282608748,0.9691069272,centroid-based
22,0.7284153049,0.746527586,0.9621554586,0.7047377367,0.7248609615,0.9682259171,centroid-based
24,0.7338960652,0.7517862956,0.9652699627,0.7086771951,0.7239846141,0.9691314298,centroid-based
24,0.7182624341,0.7380326645,0.9733933085,0.6903755206,0.7153291467,0.9684068314,centroid-based
24,0.7385394898,0.7539919196,0.9650736733,0.7227973727,0.7307092675,0.9697105781,centroid-based
24,0.7456146476,0.7621594881,0.963157572,0.7219354458,0.7383953301,0.9763083113,centroid-based
24,0.7408272656,0.7567213735,0.969618122,0.7131484733,0.7307110547,0.9704119153,centroid-based
24,0.7270254616,0.7447010303,0.9751985093,0.7000242365,0.7175027313,0.9762616729,centroid-based
24,0.728622942,0.7466649502,0.9741923994,0.7073868759,0.7261574743,0.9715880907,centroid-based
24,0.7336836617,0.7545711802,0.9625509571,0.7060324187,0.7274967019,0.9686733479,centroid-based
24,0.7351095234,0.7488416507,0.9712144424,0.7106761639,0.7199747799,0.9711478619,centroid-based
24,0.7397062,0.7598087682,0.9640910327,0.7204518859,0.7357675881,0.9678435033,centroid-based
