dataset,no_of_spikes,pearson_ADM_PEDM,pearson_ADM_FEDM,pearson_PEDM_FEDM,spearman_ADM_PEDM,spearman_ADM_FEDM,spearman_PEDM_FEDM,method
sample_100_dim_1200,20,0.9230234129,0.8867265431,0.9837869912,0.7207955269,0.6849554406,0.9857463832,random with centroids
sample_100_dim_1200,20,0.9283183465,0.9236334811,0.9987568097,0.7728575017,0.7632929764,0.9932183963,random with centroids
sample_100_dim_1200,20,0.8234683112,0.8120513038,0.9926509009,0.4851063173,0.4916784409,0.9850456184,random with centroids
sample_100_dim_1200,20,0.9343263953,0.9261764636,0.9973661277,0.3873393927,0.3386851541,0.9611415381,random with centroids
sample_100_dim_1200,20,0.8995562106,0.8775992489,0.9850469008,0.4234725753,0.3670923047,0.9493220258,random with centroids
sample_100_dim_1200,20,0.7785031453,0.7768782112,0.9993704719,0.2629027699,0.2703229901,0.993705616,random with centroids
sample_100_dim_1200,20,0.9685945653,0.9240383606,0.9560796089,0.5453313518,0.527920728,0.9938521791,random with centroids
sample_100_dim_1200,20,0.922106692,0.8456771927,0.9382614178,0.8108664236,0.8108664236,1,random with centroids
sample_100_dim_1200,20,0.9482590813,0.893016291,0.9734457243,0.399078313,0.4883703442,0.9399625477,random with centroids
sample_100_dim_1200,20,0.8994530293,0.8716574722,0.9833211869,0.4947768839,0.3743521187,0.9466271436,random with centroids
sample_100_dim_1200,20,0.8881159629,0.8630065118,0.9857452941,0.5711409752,0.521777828,0.9674364268,random with centroids
sample_100_dim_1200,20,0.8796743991,0.880745782,0.9956627248,0.4706117703,0.4668033473,0.9769978631,random with centroids
sample_100_dim_1200,20,0.8395581271,0.8372470095,0.9961325723,0.4683344161,0.4549678753,0.9801258276,random with centroids
sample_100_dim_1200,20,0.8159697223,0.7875741485,0.9803193175,0.4323876294,0.3826650157,0.9649652357,random with centroids
sample_100_dim_1200,20,0.8943366667,0.8957256782,0.9794780512,0.2752392928,0.41022867,0.8988454985,random with centroids
sample_100_dim_1200,2,0.4766632709,0.461848762,0.9864136184,0.332385036,0.4197144122,0.8452066352,random with centroids
sample_100_dim_1200,2,0.6070047642,0.5937274697,0.9502882409,0.3726060187,0.3881836594,0.9605094292,random with centroids
sample_100_dim_1200,2,0.5946440048,0.6611655152,0.9016775496,0.3203589939,0.3016572755,0.9183389984,random with centroids
sample_100_dim_1200,2,0.6523706314,0.6110167658,0.9910930902,0.3715584629,0.3699819423,0.9962786038,random with centroids
sample_100_dim_1200,2,0.6863399154,0.6730311252,0.9867942158,0.7258946168,0.7507852609,0.9698100051,random with centroids
sample_100_dim_1200,2,0.675782563,0.6753715845,0.9882354271,0.7834919553,0.7743338281,0.9979473875,random with centroids
sample_100_dim_1200,2,0.7352039996,0.6902983209,0.9667746614,0.4599067732,0.5132886431,0.9686333641,random with centroids
sample_100_dim_1200,2,0.6497510941,0.6303861977,0.9931339934,0.6307369839,0.6005701593,0.9929529064,random with centroids
sample_100_dim_1200,2,0.6348342328,0.6202222586,0.9925977911,0.5380272889,0.5279124351,0.9908437806,random with centroids
sample_100_dim_1200,2,0.6655676454,0.6551910341,0.9968519158,0.5179462186,0.5296311022,0.9973922276,random with centroids
sample_100_dim_1200,2,0.6094265654,0.569033232,0.9605476295,0.4978652707,0.5186067215,0.9723442901,random with centroids
sample_100_dim_1200,2,0.6361663463,0.5766835606,0.9621407508,0.5818033211,0.687489422,0.974164585,random with centroids
sample_100_dim_1200,2,0.6977287927,0.6809353738,0.9795677882,0.3547985707,0.3472588476,0.9976853363,random with centroids
sample_100_dim_1200,2,0.5736568879,0.5797392788,0.9794937265,0.5553301015,0.6191725199,0.9420351945,random with centroids
sample_100_dim_1200,2,0.614359591,0.5897299841,0.9840697789,0.649337402,0.6558833683,0.9957681401,random with centroids
sample_100_dim_1200,4,0.8179387044,0.8126515014,0.9828922123,0.7074589275,0.710813688,0.9731874098,random with centroids
sample_100_dim_1200,4,0.7671783845,0.7510861994,0.9929292941,0.5402216869,0.5722189351,0.9790971696,random with centroids
sample_100_dim_1200,4,0.770001337,0.7407632476,0.9712487399,0.6246038914,0.619219941,0.9826513063,random with centroids
sample_100_dim_1200,4,0.9002312473,0.8953501007,0.9988251773,0.5525525689,0.5771094877,0.9912897636,random with centroids
sample_100_dim_1200,4,0.6565472526,0.6464030717,0.9954655097,0.3476589574,0.3461238725,0.9967266759,random with centroids
sample_100_dim_1200,4,0.8185596227,0.816954429,0.9560340238,0.4038275546,0.2911072687,0.891947309,random with centroids
sample_100_dim_1200,4,0.8878457899,0.887044747,0.9967882608,0.7625176767,0.7228336962,0.989009584,random with centroids
sample_100_dim_1200,4,0.796282712,0.7828803431,0.9866480323,0.2531737748,0.2177710239,0.9646776111,random with centroids
sample_100_dim_1200,4,0.7525471875,0.6708362953,0.9581103788,0.4533180116,0.5249413542,0.9720552517,random with centroids
sample_100_dim_1200,4,0.8110546059,0.8008807367,0.9982584144,0.4557388023,0.4501795853,0.999797281,random with centroids
sample_100_dim_1200,4,0.661661656,0.615272991,0.9424967861,0.3493451233,0.3757621487,0.9509440989,random with centroids
sample_100_dim_1200,4,0.8592135886,0.85968111,0.9980719521,0.5371337762,0.5358526449,0.998230072,random with centroids
sample_100_dim_1200,4,0.897141362,0.884475067,0.9948793792,0.6522502736,0.6490850017,0.990882607,random with centroids
sample_100_dim_1200,4,0.7502430545,0.713035697,0.9774442535,0.6439123425,0.6493865718,0.9983380495,random with centroids
sample_100_dim_1200,4,0.6650091782,0.6682149935,0.9678035267,0.4655863325,0.4633288209,0.9889017867,random with centroids
sample_100_dim_1200,6,0.7928404844,0.7877927156,0.9912980961,0.386920821,0.3168697662,0.9771745084,random with centroids
sample_100_dim_1200,6,0.9333906987,0.9328955023,0.9940570115,0.6103081964,0.6377980729,0.9810114004,random with centroids
sample_100_dim_1200,6,0.6747404512,0.6441261985,0.9763417897,0.2485116817,0.231171739,0.9890435042,random with centroids
sample_100_dim_1200,6,0.7654333536,0.76135248,0.9874889282,0.9043045982,0.8966917406,0.9776005344,random with centroids
sample_100_dim_1200,6,0.903083062,0.8507756874,0.978099804,0.7824354391,0.777874902,0.9858449954,random with centroids
sample_100_dim_1200,6,0.9327801019,0.9071173986,0.9875575294,0.802917609,0.7915293863,0.9838235653,random with centroids
sample_100_dim_1200,6,0.8873078886,0.9224039083,0.9405976958,0.7325895425,0.7889754855,0.8759172535,random with centroids
sample_100_dim_1200,6,0.9053594205,0.8988188452,0.9957108615,0.3681783926,0.3716163793,0.9976359774,random with centroids
